Telepules,p_ld_Fidesz_twins_2014,n_wards_2014,min_Fidesz_votes_2014,p_ld_Fidesz_twins_2018,n_wards_2018,min_Fidesz_votes_2018,p_ld_Fidesz_twins_2019,n_wards_2019,min_Fidesz_votes_2019,p_last_2_regular,p_all_regular
Eger,0.4926826279117078,47,125,0.8516246193425085,47,183,0.00042158306250505984,47,109,0.0003590305151271206,0.0001768880976933239
Berettyóújfalu,0.05555563000753594,16,138,0.012720483641251001,16,177,0.794108867905351,16,108,0.01010144886356237,0.0005611923556041155
Maglód,1.0,8,282,0.5217030999999999,8,331,0.0027279999999999527,8,193,0.0014232060567999749,0.0014232060567999749
Gyömrő,0.18406106910639097,16,160,0.18406106910639097,16,183,0.05555563000753594,16,133,0.010225628654066161,0.0018821401423523632
Százhalombatta,0.794108867905351,16,182,0.012720483641251001,16,211,0.45095698108093596,16,126,0.005736390900747983,0.004555318884055538
Komárom,0.09819684142543728,19,123,0.06840617391742143,17,137,0.8146979811148158,17,104,0.05573037178631221,0.005472546480881164
Budapest XVI. kerület,0.8536974513332889,60,204,0.06658944558287128,60,224,0.13135009059114788,60,175,0.008746529709724454,0.007466890121202658
Püspökladány,0.05555563000753594,16,157,0.794108867905351,16,185,0.18406106910639097,16,108,0.14616452721352471,0.008120262394100996
Dabas,1.0,16,161,0.012720483641251001,16,251,0.794108867905351,16,142,0.01010144886356237,0.01010144886356237
Balatonfüred,0.1496943999999999,8,351,0.1496943999999999,8,402,0.5217030999999999,8,275,0.07809603253263993,0.011690538732354006
Kerepes,0.1496943999999999,8,198,0.1496943999999999,8,272,0.5217030999999999,8,207,0.07809603253263993,0.011690538732354006
Tapolca,0.7712320754503899,15,135,0.41537085948432995,15,214,0.04413292430985993,15,120,0.0183315307021434,0.014137864469596596
Mosonmagyaróvár,0.32895203498491754,30,166,0.32895203498491754,30,185,0.15844408392822573,30,103,0.052120503839510925,0.017145145802446325
Budapest XI. kerület,0.7438068775313049,118,149,0.12295722632551209,118,142,0.22818322292819793,113,143,0.028056776185267213,0.02086882308795828
Kisújszállás,0.1496943999999999,8,195,0.1496943999999999,8,304,1.0,8,166,0.1496943999999999,0.022408413391359967
Budapest V. kerület,0.6082530018748318,21,165,0.04317449528446338,21,174,0.8784233454094307,21,159,0.03792548458414201,0.023068289845862035
Balatonalmádi,0.025691499999999978,8,251,1.0,8,273,1.0,8,237,1.0,0.025691499999999978
Tolna,0.11086997774499996,13,151,0.7175704635189999,13,177,0.3409977482109998,13,114,0.24468991224270237,0.027128765124774402
Budapest XII. kerület,0.2931242265312848,55,162,0.16792032045028227,55,158,0.6385528602726223,55,127,0.10722600092142305,0.03143053858413496
Érd,0.04112598644766852,48,183,0.956011063616838,48,245,0.8616617774458096,48,152,0.8237581923339435,0.03387786825408168
Debrecen,0.8981224577742222,140,43,0.49604385295970466,137,169,0.08512670811008582,137,102,0.04222658028070311,0.03792464006510558
Hajdúsámson,1.0,10,136,0.03809178999999996,9,203,1.0,9,105,0.03809178999999996,0.03809178999999996
Tiszaföldvár,0.1496943999999999,8,213,0.5217030999999999,8,243,0.5217030999999999,8,144,0.2721741245496099,0.04074294226997909
Veresegyház,1.0,16,183,0.8146979811148158,17,175,0.05555563000753594,16,157,0.04526105960670121,0.04526105960670121
